programme-page-link-href,programme-title,programme-body
https://www.gold.ac.uk/pg/ma-music-general/,"MA Music 
(General)","This MA allows you to build an individual, 'tailor-made' programme of study, which incorporates the intellectual concerns, skills and understandings that lead to a clearly focused research dissertation.   
  
  
	You choose four modules, including at least one of two core modules, which provide you with specific research skills relevant to your interests.
This route is appropriate for those who have a particular interest they wish to develop not covered by one of our specialist pathways, or for those who are seeking a broadly based programme of music study at postgraduate level (taking both core modules, for example, would provide exceptional training for those going on to doctoral study).
Applicants should note that departmental timetable restrictions apply; consequently, part-time study offers the most flexible range of potential course combinations. This programme is not suitable if you're keen to take composition or performance modules – if this is what you'd like to do, please explore our MMus study options. 
The programme appeals to a wide range of students developing intellectual skills in music, perhaps as preparation for further postgraduate research, prior to entering teaching, or as a basis for a employment in arts administration, journalism, or other occupations in the creative and cultural industries.
    
    Contact the department
	If you have specific questions about the degree, contact Dr Berta Joncus"
https://www.gold.ac.uk/pg/ma-music-ethnomusicology/,"MA Music 
(Ethnomusicology)","The MA Music (Ethnomusicology) introduces a range of methodologies in relation to the study of music in its cultural contexts.  
  
  
	As well as engaging with musical practices in various geographic or cultural areas, the programme acknowledges the importance of urban ethnomusicology and the usefulness of applying ethnomusicological approaches to Western art and popular music.
You have the opportunity to engage with key ethnographic methodologies, such as interviewing, videoing and video editing, and musical performance as a research technique.
The innovative structure of the programme allows you to specialise in one of these areas if you wish, leading to a final project that itself may have a significant practical component, and you have the opportunity to undertake fieldwork projects as part of your studies.
A written dissertation option is also available, allowing you to engage in depth with an issue that interests you.
The programme appeals to a wide range of students hoping to develop their intellectual skills in music, particularly those with interests in music as a cultural phenomenon.
It's exceptionally useful, for example, for students preparing for further postgraduate research, or for those considering careers in teaching, journalism, arts administration or the culture industries, or working with government agencies or charities abroad.
    
    Contact the department
	If you have specific questions about the degree, contact Dr Barley Norton"
https://www.gold.ac.uk/preparation/foundation-music/,"International Foundation 
Certificate in Music","This one-year programme gives you the opportunity to develop your English language, become familiar with UK academic culture, and prepare to study for a BMus in Music or Popular Music.
	
    
	The International Foundation Certificate (IFC) programme is aimed at undergraduate students who need a year to:

develop or consolidate their language skills in academic English
undertake preliminary study in the subject areas they would like to study at undergraduate level
familiarise themselves both with ways of working in British academic culture and in the standards required at degree level

Half of the programme will focus on the four core modules of language development:

Academic Writing
Reading
Listening
Speaking

The other half of the programme will introduce you to the historical and cultural context of music studies and give you an opportunity to develop your own musicianship. The music modules will give you a taste of undergraduate study in that area at Goldsmiths.
You will have a personal tutor, who you meet in small groups or on a one-to-one basis to discuss progress on the course, general approaches to study, and ways of maximising language learning. Tutors will also support you in finalising your plans for future study.
You are encouraged throughout the programme to work independently and in particular to use the resources available in the Goldsmiths Library.
Guaranteed progression
If you pass the programme at the required level (a pass in all modules with an overall score of 50% or more), you are guaranteed a place on a related Goldsmiths degree programme:

BMus Music

Alternatively you may choose to continue your studies at another university. 

	Contact the department
	If you have specific questions about the degree, contact Dr Naomi Matsumoto"
https://www.gold.ac.uk/ug/bmus-bsc-electronic-music-computing/,"BMus-BSc (Hons) Electronic 
Music, Computing and 
Technology","Imagine being able to create your own tools for performance. Or develop your own instruments, interactive installations or reactive sound design. This interdisciplinary programme gives you that opportunity. 
	
  
	Why study BMus/BSc Electronic Music, Computing and Technology at Goldsmiths?

Alongside developing your own musical practice, you will learn to create custom software that can be used to further your artistic goals and to pioneer the future of electronic music. You'll learn electronic music composition, production and performance with software design and digital signal processing.


After your first year, you can choose to pursue a more technical or artistic path of study, leading to either a Bachelor of Music (BMus) or a Bachelor of Science (BSc) degree.


The degree is designed to meet the opportunities, challenges and intellectual demands presented by careers in the arts and creative industries, in music technology and in audio, music and media-related computing. You'll develop understanding across the broad fields of creative practice, computer science, and musical research.


You'll study with a wide range of academics, including internationally established composers, performers, writers, and computing experts. Most importantly, you will be able to participate in, and benefit from, two of the most dynamic and exciting departments - Music and Computing - that Goldsmiths has to offer.


	Contact the department
	If you have specific questions about the degree, contact Freida Abtan"
https://www.gold.ac.uk/pg/ma-creative-cultural-entrepreneurship-music/,"MA Creative & Cultural 
Entrepreneurship: 
Music Pathway","This programme allows you to develop the business/entrepreneurial skills and attributes to commercialise on your creative and cultural practices and/or knowledge.  
  
  
	The Music Pathway of the MA Creative and Cultural Entrepreneurship allows you to build on a historical and theoretical understanding of cultural and creative industries and the development of a cultural economy to create your own creative initiatives, which might be research-based, policy-based, practice-based, or a combination of any or all of these.
The MA will be taught in partnership by a number of departments within Goldsmiths and with key individuals and organisations in the creative and cultural industries sector.
Our collective approach is to integrate entrepreneurship within the development of creative practices and to take a ‘creative’ approach to the development of new businesses and the infrastructure that supports them.
    
    Contact the department
	If you have specific questions about the degree, contact the Admissions Tutor"
https://www.gold.ac.uk/preparation/diploma-music/,"Graduate Diploma 
in Music","This Diploma is a Pre-Masters programme aimed at postgraduate students who need a year to develop or consolidate their language skills in academic English, to develop additional music skills (theoretical or practical).
	
    
	You'll also have the opportunity to familiarise yourself both with ways of working in British academic culture and in the standards required at Masters degree level.
You can take it as a self-standing Diploma or as an ideal preparation for further postgraduate study. The Graduate Diploma in Music is designed to lead on to the MA and MMus programmes in the Department of Music at Goldsmiths.
You can choose to specialise in an area of music that interests you, whether it be music performance, composition or musicology (including ethnomusicology, popular music studies, historical musicology or contemporary music studies).
Progression
If you wish to go on to study either at Goldsmiths or elsewhere in Britain you'll be given help and support in finding an appropriate programme.
If you pass the programme at the required level (a pass in all modules with an overall score of 50% or more), we will guarantee you a place on one of the following MA programmes, subject to completing a successful interview:

MA Music (Contemporary Music Studies)
MA Music (Ethnomusicology)
MA Music (Musicology)
MMus in Creative Practice
MMus Composition
MMus Sonic Arts
MMus in Performance
MMus Popular Music


	Contact the department
	If you have specific questions about the degree, contact Naomi Matsumoto"
https://www.gold.ac.uk/pg/mmus-popular-music/,"MMus Popular 
Music","This MMus builds on our international reputation in the popular music field, as seen in the success of our BMus graduates.  
  
  
	The programme offers you the opportunity to reflect critically upon your own creative practice – whether that consists of performance, songwriting, arranging, production, or collaboration – and to integrate theoretical perspectives from contemporary popular music studies.
You’ll also be able to extend your own practice through options in sonic and studio art, advanced music technology, exploration in audiovisual media, and ethnomusicology.
The MMus Popular Music is intended for music creators who integrate these elements in the compositional, recording and performance work.
You’ll acquire graduate-level training in creative practice and subject-specific skills that could set you up for a career as a composer-performer or studio practitioner/producer, as well as other employment within the popular music sector.
This programme is distinguished by:

Quality
We have an international reputation and proven leadership in the field, evidenced in the success of our BMus Popular Music alumni


Innovation
The unique combination of theory and practice allows for forward-thinking, innovative practice-as-research through popular music


Industry links
You can benefit from our proximity to central London, our links with music industry professionals, and our record label, NX Records, run in collaboration with Matthew Herbert and Accidental Records.

    
    Contact the department
	If you have specific questions about the degree, contact Simon Deacon"
https://www.gold.ac.uk/pg/ma-music-musicology/,"MA Music 
(Musicology)","The Musicology pathway in the MA Music programme qualifies graduates to embark upon their own research. While honing specialist skills, this pathway teaches students bold approaches to music as a practice and an academic discipline.  
  
  
	Taking up current debates and formative ideas, the Musicology pathway prepares students for advanced-level teaching, research, music editing, criticism, broadcasting, librarianship or historically aware performance. Rigorous training, for instance in working with primary sources, is combined with a radical interrogation of musicology’s future in the twenty-first century.
Two core options deliver fundamental knowledge, and you choose two options from those offered across MA and MMus pathways. The knowledge acquired from your coursework underpins your dissertation, supervised throughout the year in one-to-one tutorials with a leading academic.
Private tours to archives and other relevant institutions in and around London complement onsite teaching.
    
    Contact the department
	If you have specific questions about the degree, contact Dr Berta Joncus"
https://www.gold.ac.uk/pg/mmus-music/,MMus Music,"The MMus degree advances your exploration of today’s creative music practice in all its complexity. From a range of stimulating pathways, you choose one that best suits your interests. Modules are shared across pathways, and are rooted in academic and practice-based research.   
  
  
	The MMus degree allows students to advance in performance and composition in the broadest sense, while acquiring academic knowledge.
The pathways available are:

Creative Practice (Pathway A)
Composition (Pathway B)
Sonic Arts (Pathway C)
Performance and Related Studies (Pathway D)
Popular Music (Pathway E)

The programme’s modules explore music as an evolving subject and cover repertories from Western art music through to electronic, popular, audio-visual, non-Western, and contemporary repertories.

You develop systematic, critical and creative approaches, exploring musical practice, discourses, and contexts
You develop an independent and original approach to creative practice
You explore interrelationships between music and other subjects, between theory and practice, and between performance and structural interpretation

    
    Contact the department
	If you have specific questions about the degree, contact the Department of Music"
https://www.gold.ac.uk/pg/mmus-sonic-arts/,MMus Sonic Arts,"The MMus Sonic Arts is an opportunity to explore a wide range of creative approaches to studio-based music, including fixed-media composition, improvisation systems, sound art installation and composition for video/film.  
  
  
	You have full access to the Electronic Music Studios, which offers advanced facilities for electro-acoustic composition, multi-channel work and live/interactive performance.
You develop a rigorous conceptual framework for your creative practice, and engage critically with contemporary ideas and debates in sound art and computer music. As part of your studies you may choose from a range of options that encompass interactive/generative music, film music and film-making.
Studio composers taking this pathway may elect to take options in notation-based composition, providing they have the requisite prior experience.
Collaborative and interdisciplinary projects, in conjunction with other academic departments and/or external organisations, are also facilitated and encouraged.
The pathway is particularly useful for students wishing to pursue studio and computer-based research or professionals seeking to develop their expertise in technology-based creative practice.
    
    Contact the department
	If you have specific questions about the degree, contact Dr Iris Garrelfs"
